r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,label,
-11.09009,1.306152,17.25159,16.78864,-10.71945,2.303009,reverse,
0.402832,4.351807,3.277588,12.63367,-8.057709,1.235847,reverse,
-8.349609,-0.9033203,1.763916,-3588.353,1.844788,-0.03547668,reverse,
-3.497314,-2.102661,-0.1464844,12.37754,4.860992,-0.2817154,reverse,
-30.01709,8.624268,16.00342,9.72467,21.55762,-6.877003,reverse,
-13.18665,0.3540039,7.424927,9.559083,29.07791,-8.76894,reverse,
31.61926,16.27197,-2.133179,2.930472,3.495636,-6.481218,reverse,
27.24915,-8.505249,-13.60168,0,0,0,reverse,
-26.16577,11.41357,14.65149,2.292428,0.2809143,-6.965408,reverse,
4.425049,5.096436,-0.0793457,2.453947,-0.7141113,-6.482506,reverse,
-5.514526,6.781006,15.75623,-8.675032,-4.152832,-9.686174,reverse,
27.25525,-23.29102,-30.32837,0,0,0,reverse,
-17.10815,15.63721,50.3479,-29.52608,-9.871216,-9.806042,reverse,
20.43457,-19.20166,-27.73438,3590.765,-4.400482,-2.444744,reverse,
5.123901,-4.064941,0.5310059,-9.215088,-3.880005,-1.510105,reverse,
18.05115,-11.41052,-15.1123,-1.959839,1.193848,3.797512,reverse,
1.052856,1.605225,-3.677368,-0.02166748,1.560211,4.210844,reverse,
0.6835938,2.957153,-5.999756,3.117981,2.082825,4.763775,reverse,
2.178955,-1.074219,-0.1739502,3.345642,2.211761,5.112514,reverse,
29.75769,-4.324341,-21.87195,-3570.123,7.530518,12.76531,reverse,
-60.17456,19.8761,23.6908,0,0,0,reverse,
101.7822,-6.802368,20.66956,5.130405,0.761261,22.5641,reverse,
-66.10413,7.855225,-4.971313,-4.742641,-1.60553,8.081512,reverse,
-2.34375,14.52026,11.73706,-7.260795,-0.9484863,9.614735,reverse,
-18.77441,-5.160522,-12.323,-3.921068,-0.3804016,4.733868,reverse,
-8.486938,14.80713,21.67664,3573.219,23.88,0.157795,reverse,
-5.487061,-3.118896,-3.860474,-24.22058,22.11746,-2.49052,reverse,
-1.370239,-3.494263,-6.558228,-17.36389,12.92847,-1.945438,reverse,
-1.620483,-0.3692627,0.6988525,-17.12585,12.79755,-2.732048,reverse,
-14.65149,5.285645,10.64453,-18.8916,13.73459,-8.919201,reverse,
