label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
knee,53.01351,-0.327282,0.2012639,0.04848461,14.19288,42.68496,22.89447,37.74109,122.6288,68.58215,-48.37494,-196.6431,-65.48462,86.11603,319.2719,134.0668,36.7911,34.5567,
knee,56.74206,-0.1989745,-1.100464,0.6665417,14.67817,43.19924,26.98525,48.53058,122.6288,88.22937,-48.37494,-196.6431,-85.04639,96.90552,319.2719,173.2758,39.75077,35.09129,
knee,54.55531,-0.2475165,0.4996492,0.794449,14.36096,39.6398,28.27731,48.53058,122.6288,88.22937,-48.37494,-196.6431,-85.04639,96.90552,319.2719,173.2758,37.54605,34.18177,
knee,54.16107,0.6846619,-0.7469563,-0.4802704,15.73741,36.73831,28.79358,48.53058,122.6288,88.22937,-48.37494,-196.6431,-85.04639,96.90552,319.2719,173.2758,37.15252,32.36337,
knee,47.08183,0.1037216,0.5058287,-0.6245803,14.37665,23.69799,29.02542,48.53058,80.24292,88.22937,-49.04175,-59.60693,-85.04639,97.57233,139.8499,173.2758,31.91601,24.34714,
knee,44.67706,0.04537578,0.3291892,-0.2433393,13.12585,24.02345,25.9015,47.68982,80.24292,77.12402,-49.04175,-59.60693,-79.15344,96.73157,139.8499,156.2775,30.45338,22.20504,
knee,45.59403,0.4863739,-1.060906,0.3985977,13.2918,22.72898,26.63635,48.54279,60.83069,72.15576,-49.04175,-59.60693,-79.15344,97.58454,120.4376,151.3092,31.53114,20.25048,
knee,45.16304,-1.182136,0.8650212,0.8378602,11.54926,30.3616,26.67183,48.54279,172.2748,101.5503,-49.04175,-84.13391,-70.06836,97.58454,256.4087,171.6187,31.52415,27.85093,
knee,46.70712,0.639801,-2.023773,-0.1966092,15.73877,29.98966,25.58175,73.05145,172.2748,101.5503,-30.26886,-84.13391,-70.06836,103.3203,256.4087,171.6187,32.71634,27.12379,
knee,52.86955,0.4906654,0.8150101,-0.9017175,18.71794,33.27587,27.98756,73.05145,172.2748,101.5503,-54.75769,-86.23352,-70.06836,127.8091,258.5083,171.6187,35.48061,31.36545,
knee,56.64291,0.07171607,0.3811076,-0.4559321,18.93723,42.48896,27.96026,73.05145,172.2748,101.5503,-54.75769,-108.1192,-70.06836,127.8091,280.394,171.6187,38.15899,38.59997,
knee,65.83076,0.5347634,-0.32959,-0.1424021,21.13261,45.93133,37.03761,73.05145,171.254,127.3834,-54.75769,-213.3606,-115.7684,127.8091,384.6146,243.1518,43.80674,44.82683,
knee,80.7404,-0.7134058,1.623917,1.37951,19.664,56.98424,43.39042,56.41022,171.254,127.3834,-54.75769,-213.3606,-119.8608,111.1679,384.6146,247.2442,53.21714,51.86125,
knee,76.32451,-0.2680971,-0.7285872,0.6913763,19.10582,56.34988,42.66749,59.34906,171.254,127.3834,-53.64838,-213.3606,-119.8608,112.9974,384.6146,247.2442,51.13388,52.41432,
knee,73.21343,-0.2306366,1.019613,-0.6710808,19.03413,52.18618,42.69034,59.34906,149.1959,127.3834,-53.64838,-213.3606,-119.8608,112.9974,362.5565,247.2442,48.27439,50.78669,
knee,63.42949,-0.1083947,-0.1101109,-0.3983301,16.19973,46.82678,35.1232,59.34906,149.1959,84.10339,-53.64838,-114.267,-119.8608,112.9974,263.4629,203.9642,42.58978,43.30255,
knee,49.27851,0.1203917,0.1053422,-1.06224,14.4455,36.17129,28.48214,59.34906,132.4341,79.15955,-53.64838,-127.1622,-73.42529,112.9974,259.5963,152.5848,33.26559,34.96887,
knee,51.39458,-0.02931602,-0.1836023,0.4653933,11.11317,35.35471,31.9369,29.55475,110.0143,98.52295,-45.31708,-127.1622,-90.8844,74.87183,237.1765,189.4073,35.43245,33.73745,
knee,57.98794,-0.03627811,-2.236176,1.832504,14.63598,34.62015,36.24863,48.07434,110.0143,98.52295,-54.57611,-127.1622,-112.5397,102.6505,237.1765,211.0627,40.12643,33.54041,
knee,61.13889,-0.2007104,0.8254439,0.3171158,15.16264,42.08237,39.3727,48.07434,188.0005,157.3395,-54.57611,-162.4435,-112.5397,102.6505,350.444,269.8792,41.9141,42.36826,
knee,56.20414,0.356922,-0.8203689,-0.05084982,14.69161,38.02082,38.31024,48.07434,188.0005,157.3395,-54.57611,-162.4435,-112.5397,102.6505,350.444,269.8792,38.71339,40.38783,
knee,48.50106,0.06399123,0.5525026,-0.6501772,14.72749,36.66545,33.08922,48.07434,188.0005,157.3395,-54.57611,-162.4435,-112.5397,102.6505,350.444,269.8792,32.98818,39.60634,
knee,40.9233,0.3672026,1.739827,-0.6935498,9.374632,35.74539,28.06985,30.36041,188.0005,157.3395,-28.61938,-162.4435,-82.57751,58.97979,350.444,239.917,28.66548,36.54403,
knee,40.44966,0.06963718,-0.9880452,0.7273483,9.296652,29.66371,23.25194,30.336,106.9839,61.95068,-29.7287,-108.8684,-76.3916,60.0647,215.8523,138.3423,28.35306,26.54487,
knee,47.59828,-0.398369,0.4687683,0.09738895,10.74386,35.99319,26.10656,48.14453,106.9839,61.95068,-29.7287,-138.5254,-95.32166,77.87323,245.5093,157.2723,33.82045,30.80677,
knee,51.68379,0.2209663,-1.05179,0.379181,10.69198,37.65291,27.17597,48.14453,106.9839,61.95068,-29.7287,-138.5254,-95.32166,77.87323,245.5093,157.2723,37.03495,30.00507,
knee,45.97738,-0.318184,-0.2508743,-0.1184842,11.04697,34.44251,24.60166,48.14453,106.9839,55.94482,-29.7287,-138.5254,-95.32166,77.87323,245.5093,151.2665,32.42016,29.37133,
knee,51.30651,0.6907846,1.787758,-1.636658,17.72535,34.36532,27.21269,65.92865,118.6127,54.15039,-87.50305,-138.5254,-96.2738,153.4317,257.1381,150.4242,35.10926,31.77082,
knee,48.64297,0.1510242,0.7823184,0.2153014,19.73959,30.53036,24.91434,65.92865,118.6127,54.68445,-87.50305,-94.63959,-96.2738,153.4317,213.2523,150.9583,32.2658,30.03461,
knee,50.4488,-0.2547452,0.5304913,-0.1364135,20.33687,31.02134,24.65674,65.92865,118.6127,54.68445,-87.50305,-94.63959,-96.2738,153.4317,213.2523,150.9583,33.19075,29.70868,
knee,60.98347,0.1386646,-0.8003799,0.07434735,21.08297,35.34247,35.4337,65.92865,118.6127,120.52,-87.50305,-94.63959,-147.2382,153.4317,213.2523,267.7582,41.05987,35.5511,
knee,55.06643,-0.929413,-1.01015,1.129836,18.35353,31.86848,32.40186,41.55579,116.9373,120.52,-64.09607,-94.63959,-147.2382,105.6519,211.5769,267.7582,37.37134,31.7628,
knee,58.75864,0.315666,-0.754642,-0.6235515,16.1606,35.63795,33.32764,41.52679,116.9373,120.52,-53.83759,-83.21075,-147.2382,95.36438,200.148,267.7582,40.60683,31.5294,
knee,53.85097,0.1995274,0.4812059,-0.3409587,16.10691,32.65742,33.01755,41.52679,116.9373,120.52,-53.83759,-83.21075,-147.2382,95.36438,200.148,267.7582,36.86995,32.51297,
knee,50.8708,0.04037806,0.3027345,-0.1742171,15.09193,33.01519,21.65618,41.52679,77.87628,70.401,-53.83759,-83.21075,-67.59033,95.36438,161.087,137.9913,34.57723,24.31662,
knee,56.88997,0.259647,-1.201858,0.590973,11.84995,64.92136,21.19586,40.97137,391.5634,70.401,-33.56171,-317.6849,-67.59033,74.53308,709.2483,137.9913,41.54654,55.4997,
knee,55.08255,-0.5968287,-0.3962899,1.044503,12.5223,63.45733,23.28171,43.4967,391.5634,77.83508,-37.04071,-317.6849,-76.72729,80.53741,709.2483,154.5624,39.53835,56.24947,
knee,62.37421,0.09422263,-0.9530834,0.02739017,13.48487,66.57166,26.33994,55.36499,391.5634,77.83508,-37.04071,-317.6849,-88.12866,92.4057,709.2483,165.9637,44.83265,57.43147,
knee,57.61628,0.2898022,0.8530036,-1.340599,13.0032,64.36467,27.64136,55.36499,391.5634,77.83508,-37.04071,-317.6849,-88.12866,92.4057,709.2483,165.9637,41.32606,58.05776,
knee,52.53133,0.03334026,1.196804,-1.033477,14.93361,31.99176,32.37856,55.36499,97.33429,100.1221,-37.04071,-111.1588,-116.4734,92.4057,208.4931,216.5955,35.30183,32.42127,
knee,55.33973,-0.2410886,0.6082156,0.04058875,16.01668,32.74399,34.19596,55.36499,97.33429,100.1221,-40.31677,-126.9653,-116.4734,95.68176,224.2996,216.5955,37.23299,33.34968,
