l_upleg_JNTa_x,l_upleg_JNTa_y,l_upleg_JNTa_z,l_upleg_JNTw_x,l_upleg_JNTw_y,l_upleg_JNTw_z,label,
-33.02307,-21.79565,-90.39917,4.155722,0.5178833,9.488525,ankle,
-5.19104,-16.78162,51.26038,4.498577,0.6936646,10.74432,ankle,
-6.314087,-6.47583,-52.39563,4.07547,1.722717,9.221497,ankle,
-2.758789,-6.210327,-0.006103516,4.046249,1.820679,9.636841,ankle,
1.168823,-25.83923,-4.446411,3.589716,0.5140686,5.469971,ankle,
-2.185059,-14.01672,-4.394531,3.482885,0.1919556,4.407654,ankle,
1.785278,-102.2034,24.64905,1.381578,-1.268005,5.592651,ankle,
-10.15625,-178.6438,-38.48572,-0.1644039,-2.962799,7.530212,ankle,
49.30725,242.5385,-50.79346,-6.450396,0.138092,3.316956,ankle,
4.51355,10.86426,-8.456421,-6.85832,0.3115845,3.232727,ankle,
19.37561,30.77393,0.8026123,-5.064936,-0.2325439,3.750916,ankle,
9.671021,14.94751,0.1678467,-4.081793,-0.4495239,4.021606,ankle,
12.81128,9.637451,4.702759,-5.627794,0.3369141,4.47113,ankle,
42.92908,11.63635,11.74316,-10.9196,2.200317,6.790771,ankle,
-9.49707,20.2301,10.43701,-6.152239,3.120117,5.26947,ankle,
14.81323,8.096313,6.185913,-5.967598,4.06311,5.74646,ankle,
-61.59973,-5.433655,-9.42688,-2.582493,1.707153,2.410583,ankle,
-30.10254,39.19373,13.62,-3.374834,2.343292,-0.1586914,ankle,
-25.38147,69.60144,19.27185,-4.693842,3.963013,-2.653503,ankle,
-15.82947,6.248474,-12.71973,-1.722927,2.822571,-2.807922,ankle,
-8.596802,33.5434,-15.85388,0.8091831,2.706604,-3.946533,ankle,
35.32715,-153.1967,-11.09314,0,0,0,ankle,
-50.79346,200.9094,-25.4303,9.201145,1.185455,-6.294556,ankle,
9.622192,-23.22998,-47.21069,12.56269,1.556091,-9.020081,ankle,
5.679321,-26.33057,-68.56384,20.3708,2.408295,-14.83459,ankle,
34.44214,-108.4106,55.57556,14.14478,1.792755,-9.425049,ankle,
24.52393,-27.29492,33.38318,13.646,1.710968,-8.697815,ankle,
-23.47412,-15.64331,52.24609,0,0,0,ankle,
50.50964,30.55725,-60.89783,-3.863068,-3.081207,-13.38715,ankle,
