hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
5.525208,-13.33923,5.957031,2.358513,-4.859161,6.925964,
5.241394,-19.06433,15.66162,1.245384,-3.016052,5.105591,
-1.591492,0.06408691,-0.2044678,0.9018707,-3.224335,5.719299,
-6.04248,7.025146,-2.29187,-0.04550934,-4.246368,-3591.712,
1.696777,-13.9801,8.563232,-0.1347923,-2.951965,5.303395,
-4.766846,0.7324219,3.100586,-0.5274582,-3.165741,4.329697,
-8.729553,17.90161,-20.94727,-1.19421,-6.08139,4.851521,
-4.243469,-3.277588,-13.2019,-2.148304,-8.062439,-1.428765,
8.467102,-4.01001,35.03113,-2.6371,-10.2124,-1.796983,
20.63904,-23.63892,-17.30042,-2.837372,-5.546265,-1.678756,
2.108765,-7.531738,8.477783,-2.542038,-4.506989,-0.8597398,
14.0564,-1.300049,18.72559,-2.916737,-3.022766,1.885761,
-0.3295898,-1.968384,0.4669189,-2.851524,-2.95166,1.849869,
7.989502,1.99585,5.511475,-3.702335,-2.077026,3.822857,
11.49597,-0.6195068,2.740479,-5.059109,-2.538147,5.454335,
5.316162,4.452515,-14.73083,-7.706356,-2.411041,6.434519,
25.53558,-5.609131,-5.471802,-11.90278,-3.522644,9.50109,
-50.07629,-3.29895,1.519775,-4.972601,-1.289215,2.719727,
-3.52478,0.1464844,-4.544067,-5.321817,-1.260834,2.15281,
-9.275818,0.5371094,5.322266,-3.558159,-1.014709,2.022672,
-1.896667,0.05493164,1.28479,-3.207531,-0.9635925,2.002859,
4.206848,1.898193,-2.975464,-4.645462,-1.08017,3.828373,
-3.33252,-0.3356934,5.853271,-3.056507,-0.5055237,3.121643,
6.185913,0.982666,-8.703613,-3.819475,-0.3181458,3.238702,
13.50098,0.6103516,-20.32776,-6.504545,-0.005645752,4.422832,
-10.51331,-4.376221,5.072021,-5.573959,0.04989624,1.450419,
-15.25726,-1.800537,16.66565,-1.947966,0.07751465,-2.754965,
-6.150818,-0.7446289,-4.098511,-2.468157,0.01419067,-5.467787,
-4.508972,0.9460449,8.456421,-1.259193,-0.09429932,-5.134912,
-2.82135,-0.09765625,0.112915,-1.215219,-0.1036072,-5.424414,
-14.8468,0.6408691,0.1525879,-0.7736206,-0.1774597,-7.336478,
-1.741028,0.7995605,6.716919,-0.3074932,-0.01663208,-4.966507,
-20.55969,2.276611,13.16833,0.5965519,0.3437805,-2.593164,
2.398682,-2.392578,-0.1739502,0.5783367,0.3282166,-2.486451,
31.24542,0.2990723,-2.423096,0.5091667,0.1522827,1.315658,
-17.11578,0.2990723,14.62708,1.654644,0.4119873,6.683698,
24.33014,-0.1342773,-14.49585,0.7067204,0.4528809,3.443589,
-10.47363,-0.01220703,8.840942,1.612673,1.031494,7.84843,
10.13794,0.4882813,11.68213,1.160145,0.1971436,4.801626,
0.4013062,-1.177979,-0.2471924,1.102114,0.151062,4.506855,
8.976746,-0.3234863,-1.165771,2.209587,-0.9646606,-0.6866598,
1.971436,-0.5859375,3.488159,2.724524,-1.340332,-1.882071,
3.083801,1.019287,-24.95117,0.7166195,-0.5245972,-2.508807,
14.51569,-0.2258301,2.69165,1.675539,-1.439362,-8.297033,
11.09009,1.049805,-6.036377,1.772871,-2.14798,-10.03598,
-5.187988,0.1342773,-3.353882,1.240892,-1.77948,-7.56109,
1.745605,1.171875,-9.524536,1.542511,-1.401062,-6.18984,
7.162476,-0.5126953,-8.1604,2.090759,-1.485748,-6.716831,
3.793335,0.6469727,21.80481,3.653078,-1.351471,-3.449979,
22.80426,1.931763,21.71936,6.945028,-1.879425,-1.868463,
-21.72699,-1.690674,-5.322266,5.11425,-1.051025,0.5780602,
-18.86749,-0.289917,-2.825928,3.799429,-0.2159119,3.577626,
-0.7965088,0.7568359,4.049683,4.252605,-0.07751465,4.390776,
-12.60834,2.218628,5.575562,4.001656,0.3987122,5.123625,
-1.686096,0.1434326,2.340698,4.174395,0.4327393,5.437636,
0.5142212,-0.6774902,7.687378,6.263132,1.255646,8.520114,
-7.749939,-1.528931,-9.77478,4.905739,1.286011,6.028121,
-16.50696,-0.4364014,6.414795,8.148441,3.106232,7.584124,
-2.539063,-3.973389,3.158569,8.009968,3.12851,7.676873,
0.3051758,-0.8361816,-27.90527,3.054123,2.243042,0.01269817,
-7.408142,-3.244019,5.343628,4.197884,3.162537,-0.1874018,
2.418518,-3.915405,13.18054,2.775097,2.961884,-3.110051,
13.40027,3.408813,-12.80518,1.351032,1.439972,-1.510892,
-24.84589,-14.4989,11.12366,2.95763,5.132446,-6.512513,
20.73517,9.521484,-16.14685,1.060257,2.389526,-3.231325,
-23.91815,-21.66748,8.288574,0.7039642,7.06955,-9.28549,
-5.326843,-24.6521,15.95154,-0.02792358,9.332886,-12.16054,
21.34247,12.62817,-15.39917,-0.9848213,6.313477,-8.418598,
7.540894,0.4241943,-12.27417,-2.984352,6.617737,-9.19557,
10.40497,17.29126,-4.547119,-2.633991,3.695068,-6.33884,
1.649475,-0.8758545,-1.425171,-2.973118,3.608398,3593.299,
1.251221,-11.84082,-3.979492,-4.705963,5.265503,-10.07874,
2.677917,7.580566,-1.937866,-4.19487,4.402313,-8.666077,
6.268311,-10.17456,-2.438354,-5.929413,5.45166,-9.561157,
11.84235,-38.28735,-11.1084,-10.94385,9.724884,-16.10748,
-2.204895,27.91138,10.87646,-6.226711,4.866791,-7.692261,
1.417542,9.399414,7.583618,-4.509487,2.415619,-3.17749,
-1.948547,6.542969,0.958252,-3.505602,1.710968,-2.321472,
9.115601,-14.42566,3.741455,-4.016285,1.175842,-1.777344,
-0.7278442,2.438354,-0.50354,-3.632174,1.025391,-1.752319,
9.263611,-15.65247,5.523682,-3.671761,-0.06530762,-2.389832,
-9.089661,20.12939,-2.459717,-2.467155,-0.06088257,-1.736755,
27.25983,-60.7605,31.32324,-3.493061,-5.75592,-11.68121,
-16.99219,41.2384,-15.28015,-1.970654,-3.705444,-7.50061,
-29.76227,48.49243,-8.395386,0.4520512,-3.427734,-5.505371,
2.046204,-5.963135,4.052734,0.6583023,-4.732056,-7.538452,
-5.360413,19.32373,-6.19812,1.391506,-3.768005,-4.282837,
0.02593994,-0.1434326,-0.0579834,1.39019,-3.783569,-4.297485,
-1.475525,6.5979,-0.302124,3.257837,-6.424713,-4.298096,
-0.579834,0.4211426,-5.819702,2.210121,-3.920288,-1.878052,
-26.51978,32.11365,-18.05115,7.380972,-10.37766,4.335022,
6.567383,-5.6427,-1.104736,5.8358,-7.869263,4.183655,
-2.49939,5.447388,-6.463623,4.393044,-4.909515,4.716492,
-2.545166,8.648682,-6.988525,4.454679,-4.306488,5.677185,
8.096313,0.7843018,4.980469,3.595467,-3.018646,4.399109,
3.616333,-0.3845215,1.074219,3.363075,-2.664795,3.999023,
1.737976,24.71008,-7.037354,4.669037,-3.269196,4.995728,
7.533264,-12.87231,7.281494,3.548088,-2.195435,3.415222,
7.673645,46.27686,-15.3717,6.106014,-2.944946,5.391235,
5.79071,-14.36768,1.925659,5.340652,-2.184601,4.425659,
-1.054382,-20.98999,5.389404,4.212208,-1.657257,4.025879,
-6.845093,-31.56738,18.80188,1.794338,-0.378418,4.08905,
-0.7232666,7.086182,-3.781128,1.907349,-0.3547668,6.280212,
-2.09198,-13.33008,3.051758,0.7995605,-0.03860474,6.864319,
0.4333496,-4.736328,0.8056641,0.665741,-0.03387451,6.248169,
-4.309082,3.347778,5.419922,-1.112614,-0.1264954,12.61444,
1.876831,-10.87952,0.567627,-0.8601189,-0.1934814,8.330078,
-21.21735,22.94006,-35.20203,-5.177898,-3.65799,16.81641,
14.05182,-25.51575,33.53882,-3.311443,-2.470245,-3589.967,
-0.2151489,-12.21619,3.591919,-2.919903,-3.119202,-1.27004,
2.886963,-2.471924,1.434326,-2.248058,-2.468719,-1.126496,
2.851868,-1.205444,11.99341,-1.93325,-2.991028,3596.351,
-1.849365,-0.5828857,3.869629,-2.725315,-4.151917,-5.048523,
6.182861,5.383301,-6.976318,-2.323036,-2.659912,-3.216248,
-0.02441406,-0.6256104,0.5615234,-2.463875,-2.823792,-3.403931,
16.60004,22.17102,-7.165527,-4.797287,-2.934875,2.578125,
8.772278,0.5187988,1.416016,-5.781841,-3.359833,3.890076,
11.79199,1.730347,-18.41431,-5.495567,-1.628113,-3591.357,
-11.28998,-13.90686,1.043701,-2.737885,-0.1429749,6.418402,
-2.058411,-3.19519,-2.5177,-2.581129,0.05325317,6.674488,
8.828735,0.289917,-9.573364,-3.688869,0.2568054,10.18284,
-11.11298,-5.596924,25.85754,-2.688856,0.3327942,6.630399,
0.4516602,-3.323364,17.47437,-3.36936,0.5511475,7.596238,
-15.37781,-3.366089,-12.44202,-1.149645,0.2026367,2.338355,
-16.29028,-0.2349854,-70.41321,-7.001667,1.811371,5.732853,
-8.148193,-1.254272,33.44727,-3.875332,1.396484,2.80273,
3.916931,0.6103516,20.05005,-1.44908,0.9933472,0.5439091,
-7.002258,1.004028,-6.069946,-1.540442,1.340485,0.8779526,
-3.913879,2.056885,-3.521729,-1.035976,1.451721,1.156788,
-7.826233,-1.327515,5.102539,-1.236706,2.341309,1.61602,
12.64954,-0.4516602,25.07935,-0.6176853,2.194061,1.187954,
-0.50354,-0.3936768,0.2563477,-0.6319332,2.245331,1.218195,
-22.7066,-0.177002,13.83362,-0.6579781,6.151733,-1.642723,
16.79382,-0.8239746,-7.324219,-0.4080009,3.886871,-1.117792,
19.67621,-1.690674,22.25342,-0.5543232,1.833954,-3.00787,
-1.153564,-5.151367,4.858398,-0.7163811,2.133942,-3.661976,
6.147766,4.47998,-31.31714,-0.6865788,1.020203,-2.556267,
-0.02441406,-0.5279541,0.3631592,-0.7135773,1.056519,-2.640457,
3.935242,1.776123,-7.949829,-0.8691597,0.6886292,-1.329589,
1.531982,-1.272583,-0.7263184,-1.463299,1.043549,-1.862431,
11.61041,5.059814,-11.90491,-2.28344,0.0932312,1.156752,
1.849365,0.2380371,-1.583862,-2.500219,0.03479004,1.451578,
2.432251,2.972412,-3.375244,-1.401062,-0.1782227,1.100218,
-0.2609253,0.213623,-0.2624512,-0.7668781,-0.2667236,0.8454704,
7.861328,0.7507324,-5.12085,-0.1734066,-0.6484985,-0.3265667,
-6.260681,-2.560425,5.6427,0.1381111,-0.5729675,-0.6957102,
0.9368896,-1.101685,12.02393,0.7490826,-0.7095337,-1.694403,
9.716797,0.1434326,11.57837,1.736469,-1.154633,-3.48954,
2.166748,0.5584717,3.417969,3.924351,-1.336517,-4.375987,
26.76392,1.348877,11.30371,8.839664,-2.531281,-8.421302,
-30.89447,-1.599121,-3.833008,5.855675,-1.282501,-3.074249,
-17.3584,0.3845215,3.80249,5.267687,-0.6326294,0.4221094,
-6.451416,-1.470947,-12.64648,2.316904,-0.2772522,0.1941752,
8.874512,3.417969,42.23633,11.97597,-0.3031921,5.891516,
