r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-23.94714,-4.141235,-4.06189,8.199234,-2.071075,-1.85564,
-11.9751,5.493164,6.472778,5.394764,-1.933289,-0.8118486,
36.20911,11.69739,25.49438,0,0,0,
-54.05579,-16.30859,-27.61536,5.56654,-2.773895,-1.195102,
-12.07581,-5.700684,1.242065,5.190887,-3.401031,-1.518774,
-46.40808,-30.01099,-0.006103516,6.700516,-6.478119,-4.466538,
-17.13257,-41.72668,11.82556,7.597389,-8.755951,-6.720908,
56.97937,28.52783,19.42139,4.490376,-6.803741,-5.497987,
72.69287,65.21912,-4.867554,0,0,0,
-71.73462,-55.25513,-18.85681,3.731651,-7.510681,-5.943601,
-0.08850098,6.774902,-0.07629395,3.500729,-7.484894,-4.461545,
37.57324,28.36304,10.69031,1.849709,-2.892151,-0.6502342,
-6.600952,-6.488037,-1.68457,2.221241,-3.502808,-0.8294082,
40.85083,26.60522,9.927368,0,0,0,
-80.57251,-55.76477,7.63855,3.833065,-4.034729,0.5076516,
4.959106,-11.34033,-4.074097,3.764458,-3.878632,0.3543341,
45.87708,31.89392,2.581787,1.556988,-1.259918,-0.9356773,
4.476929,-0.402832,0.402832,1.333408,-1.240692,-1.042711,
12.66479,0.2746582,8.236694,0.5313301,-1.314545,-1.628615,
12.5946,35.33936,-14.78577,0,0,0,
-9.417725,-55.82275,22.229,0.3960991,-2.351227,-2.406098,
16.12244,-33.39844,22.29004,-0.8875465,-3.078156,-2.164795,
4.400635,23.32764,-8.963013,-1.183033,-1.615906,-0.7096982,
-11.10535,65.89355,-35.55603,0,0,0,
9.356689,-66.42456,37.40234,-1.442204,-1.376343,-0.5116791,
-5.499268,26.80664,-10.71777,-1.17218,-0.5899048,-0.09091794,
-3.240967,2.941895,-0.6347656,-1.166019,-0.2752686,-0.2054372,
-2.178955,2.355957,-0.680542,-1.15242,-0.04547119,-0.2918029,
-0.7965088,14.11743,-5.273438,-1.292267,0.4740906,0.3150645,
-0.4821777,3.192139,0.08239746,-1.473408,0.7081604,0.5554801,
2.841187,17.0105,-20.17822,0,0,0,
29.84314,62.4176,-5.383301,-2.861652,2.638245,8.011365,
20.7428,32.31506,-27.70081,-1.76918,2.378998,9.54898,
-20.78857,-45.19348,10.27222,-0.4423523,1.01059,4.601912,
12.10938,18.89343,-14.83765,0.2988434,1.612549,6.013498,
-41.90674,-68.43262,37.64954,0,0,0,
42.41943,65.02991,-39.60266,0.3477859,1.687927,5.584574,
-10.22949,-6.048584,-3.363037,0.5905533,2.169189,4.148343,
-7.629395,7.012939,-14.45007,0.9901428,3.661652,3.074069,
-15.43579,13.92212,-31.17065,1.866207,6.86142,1.061873,
-9.124756,-79.91638,88.58643,0,0,0,
15.13672,65.30762,-73.80981,1.280613,5.819244,0.09189606,
23.20862,-3.85437,19.57397,0.2547646,6.01532,1.881394,
-6.808472,-30.70068,31.95801,-0.2546692,3.465881,2.387295,
16.44592,6.243896,2.084351,-0.6448936,4.380035,4.8106,
-47.98279,-36.99646,20.19348,0,0,0,
56.03333,36.49597,-18.09692,-0.9151649,4.667358,5.995507,
16.82739,24.63074,-25.36316,-3.393173,8.369751,10.87239,
30.48706,-7.275391,61.84082,-5.149822,10.23239,13.3531,
-63.0127,-27.27051,-8.013916,-4.307384,4.714966,3.686056,
-11.96899,-10.4248,-1.312256,-3.889275,3.626709,2.082415,
-28.36609,-16.15601,-9.054565,0,0,0,
61.05652,25.63171,65.09399,-7.025661,3.795776,-0.8684635,
21.63696,1.837158,25.0885,-8.151493,2.528839,-1.667805,
-17.75818,-7.345581,-22.82104,-6.495972,1.285706,-0.8170128,
41.27502,10.15625,35.45532,-11.15074,1.389771,-0.2390289,
-106.2103,-30.27954,-102.8168,0,0,0,
84.57031,17.26685,88.43689,-9.736881,0.977478,-0.5152798,
-60.36682,-7.763672,-52.41089,-4.683504,0.1490784,-0.4642677,
-4.272461,0.09155273,3.921509,-5.029545,0.2667236,-1.039209,
-12.06055,-0.7080078,-4.998779,-4.235144,0.3849792,-1.627312,
-4.122925,0.2502441,1.44043,-4.104261,0.1245117,-2.506943,
-3.747559,-9.136963,-36.38916,0,0,0,
0.2685547,14.27002,54.99268,-6.013432,-0.3579712,-5.267801,
16.61987,4.443359,15.34424,-10.99804,-1.968842,-9.324841,
-18.8385,-16.96777,-61.36475,-2.123117,-0.4856873,-0.6663227,
-2.774048,-0.3692627,1.028442,-2.515802,-0.597229,-0.4551744,
4.724121,-1.376343,-10.00061,0,0,0,
-11.21521,1.763916,5.310059,-1.793365,-0.330658,1.025848,
-2.337646,-0.4180908,-0.6011963,-1.683302,-0.2767944,1.389499,
-6.005859,0.3997803,-6.454468,-0.9821701,-0.08056641,2.590251,
1.596069,-1.098633,-0.3112793,-0.7561302,-0.05065918,2.377615,
-31.63147,2.301025,3.381348,0.6551456,-0.2420044,2.443857,
49.59412,-2.947998,-1.324463,0,0,0,
-71.25854,-1.379395,3.778076,1.776447,-0.1638794,0.642004,
29.37317,-1.171875,-1.528931,1.956587,-0.173645,-3.287563,
20.61462,0.8850098,-2.612305,1.085215,-0.3527832,-2.382302,
-7.061768,-0.7385254,5.026245,1.472492,-0.3581238,-3.264832,
3.579712,-0.1159668,14.45007,1.399946,0.007476807,-3.105769,
24.75281,2.520752,-19.11316,0,0,0,
-22.45789,-3.762817,13.5376,1.822071,0.4382324,-2.511435,
4.064941,-0.2502441,-9.213257,2.549105,1.165466,-1.542072,
7.23877,1.419067,-4.559326,1.894712,0.9211731,-0.9501028,
7.180786,1.721191,-5.508423,1.375847,0.7505798,-0.3721333,
3.973389,0.8728027,5.743408,0,0,0,
-4.092407,0.2990723,-15.46021,1.966915,1.801605,-1.35529,
2.618408,-0.1159668,-1.098633,1.369562,1.100159,-1.099792,
2.124023,-0.5462646,-18.0481,1.913166,0.8074951,-1.595159,
12.14294,-3.442383,-9.735107,3.903933,1.265106,-1.728191,
13.974,-1.065063,9.677124,4.911947,1.30249,-0.8526564,
6.246948,-2.532959,-6.411743,5.770178,1.53244,-0.7819366,
8.224487,-0.2380371,0.2838135,5.806293,1.252441,0.5747986,
-41.2384,7.641602,40.79285,0,0,0,
31.89392,-7.983398,-41.27808,7.508106,1.011658,-0.06236553,
-19.18335,0.2990723,10.11047,6.478119,0.4507446,-0.5755377,
-12.71057,7.684326,31.1676,0,0,0,
0,0,0,0,0,0,
-22.25952,-34.33838,-109.0118,17.44392,-1.031647,-1.834974,
-22.61353,3.210449,33.20618,10.80563,-1.915741,-0.5535984,
17.68188,19.68079,48.01331,3.293285,-1.351166,0.08841991,
-1.940918,-0.5737305,7.998657,2.960644,-1.45813,-0.09952545,
29.13208,12.02087,19.7937,0,0,0,
-69.68689,-29.12903,-9.692383,4.947128,-3.58963,-1.001191,
-24.17908,-3.225708,-2.972412,3.94846,-5.32608,-2.944818,
52.6001,15.55481,8.197021,1.573009,-2.444305,-1.459308,
-69.0918,-21.24329,19.71436,1.187706,-7.661591,-4.977751,
110.3577,38.04321,-15.24658,0,0,0,
-170.1569,-89.35852,49.53003,0.65382,-13.11951,-8.236472,
123.526,60.44617,-22.15271,-1.783428,-5.259705,-2.35548,
-9.301758,-12.54272,23.84033,-3.989677,-7.288513,-2.502193,
55.93262,41.45508,-51.21765,0,0,0,
-32.53784,-28.66821,39.84375,-3.406734,-4.815369,-1.279352,
4.614258,5.39856,0.5462646,-3.851738,-4.674835,-1.388683,
0.6134033,-2.578735,2.828979,-4.16914,-4.724274,-1.569862,
-19.19556,-26.84631,54.76379,-9.53907,-8.808289,-4.651791,
8.52356,-4.47998,-9.292603,-8.810081,-7.389526,-4.181082,
28.88184,19.06128,-31.97021,-5.082455,-2.470093,-2.640275,
9.100342,38.1134,-56.71997,0,0,0,
-7.168579,-70.01038,91.17432,-8.032894,-2.94754,-4.395106,
8.035278,-15.93323,4.06189,-8.015213,-1.737823,-4.861366,
1.876831,41.00952,-50.91858,-3.51326,-0.3540039,3597.631,
-2.688599,-31.65283,29.28772,-4.438467,1.449585,-3.218994,
-0.05493164,76.58691,-73.60535,0,0,0,
-1.303101,-90.19775,81.97937,-4.050694,3.02475,-3.361816,
