r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,
-16.80756,-14.12964,16.85486,0,0,0,
37.37259,32.04041,-41.46423,-51.47736,-10.06409,-11.83201,
-0.3059387,9.777832,-15.09094,-58.97223,-5.952301,-11.27368,
-30.01022,-18.34869,30.16663,-22.89192,-1.365814,-4.846525,
4.593658,15.64484,-24.1394,-41.75453,-2.058411,-8.7189,
-38.00507,31.79626,-11.2793,-52.11081,-2.811584,-9.875693,
-64.86359,94.81201,-22.33276,3440.125,-9.209137,3568.362,
27.45285,-94.96307,68.45703,-83.08502,-5.165405,-13.34229,
26.8692,-38.237,15.02686,-42.91809,-3.186798,-6.377869,
-37.21848,14.94446,16.50085,-106.6809,-2.49939,-11.92657,
74.11499,-47.46704,-15.84473,0,0,0,
-61.02524,-12.26349,44.06738,-138.111,3.26767,-11.83807,
24.63379,-62.97913,-16.15601,-135.5295,21.50925,-25.32898,
32.341,30.12085,-13.17139,-52.28424,23.32123,-20.00732,
-0.1663208,-148.6603,-2.389526,-169.6268,311.5155,-303.931,
2.604675,115.9592,-25.96436,-24.43817,524.2136,-523.7213,
-0.1358032,25.88043,8.996582,16.72211,284.541,-278.6829,
1.708221,6.015015,4.873657,22.40082,132.085,-126.774,
1.402283,35.8429,4.293823,4.913635,14.90417,-13.08838,
7.912445,-15.2832,14.41956,11.61255,27.11304,-21.98059,
11.92932,27.07672,8.807373,-4.004211,-20.6308,22.74506,
-21.20438,-1.708984,-27.7771,0,0,0,
92.35535,172.58,167.868,-24.44519,-856.8439,862.3691,
-92.35535,-172.58,-167.868,0,0,0,
51.50146,182.5134,58.37097,140.3391,-351.7601,357.785,
-32.49054,-87.36725,-74.54834,96.15234,-49.1243,52.53998,
3.636169,-8.091736,-39.84375,131.9165,-32.99088,41.03699,
-9.04541,-51.58844,-0.4852295,88.22601,-12.80991,15.49774,
6.468201,-37.61597,-40.17334,114.5746,-8.654785,12.40204,
19.48471,-71.91925,41.46118,98.15491,-3.968048,-3578.61,
12.3024,-8.938599,21.41418,85.16052,21.48712,13.04581,
-17.43088,8.416748,4.919434,60.59753,14.8436,10.51038,
20.6459,-14.40887,35.19287,-3534.883,22.31674,20.69896,
-30.57556,59.34143,10.70862,19.63539,9.407654,9.867029,
-24.49646,29.65851,-17.0166,0,0,0,
70.83817,-118.28,72.95227,78.18188,36.87576,39.85986,
-71.29517,95.35217,-47.86072,20.11841,5.418091,5.454111,
-6.748199,3.987122,0.8636475,19.36064,3.526764,3.132181,
-12.13837,0.8071899,6.87561,24.25663,6.329498,3.584061,
-73.89297,12.25128,42.70935,51.53206,24.07074,7.685061,
63.23853,3.625488,-51.81885,15.25702,13.67432,6.565065,
7.277679,-0.2182007,-6.09436,4.384708,33.03314,18.28556,
-1.470947,-0.2166748,1.538086,3.617058,36.5387,21.04995,
24.19128,2.69165,-19.16504,0,0,0,
-28.06015,26.27258,35.16541,-12.77809,-4.834442,-3.206558,
29.82864,-20.54443,-45.38574,3.766823,-0.9371948,-0.09958267,
5.618286,6.088257,-15.39917,7.283993,-12.46246,-7.535048,
14.58893,-2.236938,-10.5072,-0.4648781,-58.07175,-39.14145,
12.64954,12.44049,-25.75073,-16.78917,-87.58469,-58.02604,
-26.62888,-9.22699,38.94653,-16.11263,-20.43777,-14.26504,
1.087952,0.2441406,-0.680542,-17.19902,-20.39856,-13.43865,
2.339935,28.33405,-31.38428,-55.75504,-24.21677,-15.71827,
-7.10144,-22.41364,28.30811,-28.10385,-9.352112,-5.456765,
-7.224274,5.795288,-5.096436,-35.60511,-7.875519,-5.303664,
-1.751709,0.3601074,-6.066895,-41.79784,-8.902893,3594.561,
-12.52136,83.76923,2.072144,3478.337,-36.10062,-3.735962,
-13.0249,-34.66949,17.65137,-147.2742,-44.14124,-3589.003,
8.869934,-55.06744,32.67517,-40.39124,4.050446,-2.308078,
-3.670502,-5.111694,0.7354736,-47.77191,4.929657,3595.902,
-18.44635,-33.43506,81.99768,-155.9335,18.72787,-2.15332,
43.44635,19.40155,-97.28088,0,0,0,
-37.3291,-53.25165,45.26978,-122.3361,26.80771,-19.3515,
16.23917,-57.61566,-35.19897,-146.4014,61.97678,-57.59308,
21.08994,110.8673,-10.0708,0,0,0,
28.09982,-117.2531,17.53845,-85.83221,187.5159,-190.477,
23.1369,-26.64032,-5.477905,-31.27838,571.3193,-579.1324,
-43.03207,123.6771,-4.727173,8.060913,54.95941,-58.15735,
-8.921814,14.82239,2.89917,6.039124,21.46729,-24.61334,
-5.143738,11.95221,-4.019165,1.074829,-6.134338,4.759827,
-7.180023,7.917786,7.183838,2.433472,-13.32855,10.28015,
-34.13239,80.9433,7.983398,-6.174927,-161.3432,162.1796,
26.7868,-25.8606,-9.130859,7.605896,-170.8702,174.3973,
0.3303528,184.9335,-2.374268,124.6646,-380.757,406.6974,
