label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
sidecrunch,110.6516,2.49092,0.3168681,-1.626968,89.67934,20.92935,60.28276,285.3394,79.63562,194.989,-385.3699,-56.89087,-178.7933,670.7093,136.5265,373.7823,75.17754,80.44701,
sidecrunch,117.6325,-1.42685,-0.06591769,-0.7956696,100.8242,23.51614,62.26903,355.9143,79.63562,194.989,-385.3699,-56.89087,-184.993,741.2842,136.5265,379.982,79.94813,90.59219,
sidecrunch,119.554,-0.8914185,0.2860644,1.221256,100.9131,23.4854,62.78973,355.9143,79.63562,194.989,-385.3699,-56.89087,-184.993,741.2842,136.5265,379.982,80.90794,90.18781,
sidecrunch,115.9292,-0.9812927,-0.4307742,1.053696,86.21616,22.8757,63.67884,355.9143,79.63562,194.989,-232.4097,-55.65186,-184.993,588.324,135.2875,379.982,77.34009,77.66781,
sidecrunch,90.37727,-1.164627,-0.001983213,1.330147,74.23035,18.31909,44.01923,355.9143,74.87488,148.3566,-181.5002,-55.65186,-184.993,537.4145,130.5267,333.3496,61.43628,63.3414,
sidecrunch,82.24441,-0.9383389,-0.01327481,0.2127083,60.30293,15.50065,38.93241,179.9255,43.53943,148.3566,-186.322,-55.65186,-110.1013,366.2475,99.19128,258.4579,54.95557,48.71608,
sidecrunch,93.325,0.9220129,-0.3568649,-0.4032702,67.25512,18.1212,40.77398,179.9255,43.53943,148.3566,-186.322,-58.80127,-110.1013,366.2475,102.3407,258.4579,61.7524,51.98007,
sidecrunch,82.6679,0.9867096,0.4228401,-1.764355,60.80606,15.98861,38.59661,179.9255,43.53943,133.1146,-186.322,-58.80127,-110.1013,366.2475,102.3407,243.2159,55.30118,48.8749,
sidecrunch,94.71234,0.1839433,-0.03108965,0.3413586,67.02965,16.12299,49.61539,197.998,43.53943,133.1146,-186.322,-58.80127,-164.5248,384.32,102.3407,297.6394,63.80082,56.07332,
sidecrunch,87.33938,-1.603853,-0.1231383,0.9354399,61.57201,14.56274,46.89265,197.998,35.5835,133.1146,-150.47,-58.80127,-164.5248,348.468,94.38477,297.6394,59.80626,51.27163,
sidecrunch,100.0708,1.280287,0.2010345,-0.4280666,79.72089,13.72212,52.9055,287.677,41.21704,133.1146,-285.0037,-36.1145,-173.2788,572.6807,77.33154,306.3934,69.6814,67.00055,
sidecrunch,114.88,0.6999187,0.4088213,-0.3807261,85.42987,17.66929,68.42216,287.677,41.79993,231.9366,-285.0037,-69.84253,-195.6696,572.6807,111.6425,427.6062,78.78809,78.00833,
sidecrunch,109.9977,1.357193,-0.7090379,-0.542909,82.43496,18.21556,64.20939,287.677,41.79993,231.9366,-285.0037,-69.84253,-195.6696,572.6807,111.6425,427.6062,75.11956,74.89903,
sidecrunch,106.6152,0.4856108,-0.1294327,-0.06321053,80.67097,18.2889,64.68966,287.677,41.79993,231.9366,-285.0037,-69.84253,-195.6696,572.6807,111.6425,427.6062,72.21181,76.24142,
sidecrunch,90.4683,-1.812821,-0.6093978,1.213321,59.2946,16.28209,60.84081,141.51,41.79993,231.9366,-218.1946,-69.84253,-195.6696,359.7046,111.6425,427.6062,60.39853,61.96536,
sidecrunch,70.28036,1.251907,0.3159714,0.0124546,48.40768,12.81454,36.7061,141.51,30.56641,171.8994,-144.9524,-42.32178,-84.97009,286.4624,72.88819,256.8695,47.00475,40.58419,
