hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
-64.37378,9.997559,26.97449,-0.2347136,8.07785,13.55709,sidetoside,
-36.7981,17.92297,34.64966,-0.490799,8.712616,14.65084,sidetoside,
-25.98267,-19.9234,-51.31836,0,0,0,sidetoside,
16.53442,23.1369,55.86243,-0.7128024,8.339081,13.99169,sidetoside,
-34.52759,11.04126,24.46289,-1.612642,8.971558,14.04093,sidetoside,
-38.72681,4.450989,-3.366089,-4.445777,11.6098,12.41486,sidetoside,
-3.387451,-12.45117,-22.67761,-4.631445,9.387207,7.693834,sidetoside,
37.34741,-18.02979,-46.91772,-1.567643,2.593536,1.056671,sidetoside,
-27.32544,4.663086,-28.85437,-2.697787,2.945709,-2.771006,sidetoside,
8.013916,-5.873108,5.426025,-1.673958,1.526794,-3.337383,sidetoside,
-10.92529,-2.868652,-2.233887,-1.307013,0.630188,-5.655718,sidetoside,
-0.4760742,-4.252625,25.88196,0.2821708,-0.8773804,-4.275522,sidetoside,
1.641846,-1.463318,7.507324,0.7241154,-1.291809,-3.795328,sidetoside,
-66.30859,3.747559,58.79517,3.443313,-3.961487,-1.986599,sidetoside,
-108.5327,-1.24054,89.68506,7.558761,-8.170471,-0.3751469,sidetoside,
49.71924,-8.868408,-35.8429,6.08784,-6.382446,1.334238,sidetoside,
21.55151,-7.76062,-21.51489,5.781169,-5.464478,5.765753,sidetoside,
-59.58252,-7.931519,27.19116,8.11697,-7.421875,8.986187,sidetoside,
50.61035,4.962158,-47.76306,6.383362,-5.525208,8.270445,sidetoside,
19.45801,3.515625,-17.81006,5.889716,-5.292358,7.464848,sidetoside,
24.96338,6.973267,-29.38843,5.533147,-5.518799,6.715994,sidetoside,
3.466797,-0.1098633,-1.263428,5.363083,-5.323792,6.44433,sidetoside,
73.33374,1.965332,-111.5723,7.779517,-10.78918,2.627983,sidetoside,
34.97925,3.979492,16.13159,4.780416,-7.264709,0.6223679,sidetoside,
123.645,17.24854,-15.58533,-0.5093002,-1.962738,-5.743542,sidetoside,
-63.3606,-8.224487,40.41138,-0.248909,-0.8750916,-2.596273,sidetoside,
117.6025,23.47717,-55.13611,-1.813517,-0.04577637,-7.444906,sidetoside,
15.08179,4.754639,-0.881958,-2.348204,0.997467,-7.742739,sidetoside,
