r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-0.2292667,0.1735091,0.2378225,1.281643,0.7794189,4.053986,
-0.1545563,-0.3852487,0.1673222,0.6508398,0.7904053,6.793172,
0.09448975,-0.2641559,0.09456873,0.5569434,0.6542969,5.587997,
-0.1757436,-0.263536,0.135386,1.082542,0.614624,9.053793,
0.1168981,-0.2267122,-0.2635717,0.9854102,0.5633545,8.007512,
0.1689382,-0.1314521,0.4141331,5.032353,-0.2050781,7.317214,
0.1538001,-0.1173258,-0.1481891,3.435278,-0.140686,4.931173,
0.3054045,0.05939007,-0.3218651,4.958439,-0.9954834,-1.955585,
0.0001803041,0.07225275,-0.1079917,3.528821,-0.7839966,-1.972013,
0.04275218,-0.001740456,0.1286507,4.809904,-0.6002808,-2.575741,
0.05444661,-0.1402378,0.1682997,7.157292,-0.8456421,-3.819256,
-0.05367547,0.1446843,-0.03247261,6.501584,-0.5166626,-1.641374,
-0.00247173,-0.003480911,0.0128746,6.560946,-0.5001831,-1.478362,
-0.08205734,-0.012815,0.3465891,11.47264,0.6982422,1.923671,
-0.05480461,0.02468824,0.02036095,11.66967,1.243591,3.331051,
-0.09032004,-0.07373095,0.1707196,14.40591,2.475891,5.631075,
0.008042157,0.2110958,-0.6335855,5.187044,1.602173,3.199048,
-0.01797825,0.06290674,-0.04515648,5.227432,2.27417,3.269224,
0.04376322,0.05848408,-0.1473904,3.08774,1.752625,1.957617,
0.01934692,0.01037121,-0.0169754,2.155619,1.513977,1.184196,
0.007053465,0.05947351,0.05047321,0.9576702,1.981201,-0.408144,
0.07718205,0.09756088,-0.3480673,-3.816242,2.155151,-2.418175,
0.06362945,0.08103848,-0.3578663,-8.513165,2.141724,-4.254732,
-0.0427179,-0.09534359,0.1895785,-5.39381,-3598.778,-2.367029,
0.01984239,0.1572251,-0.3015637,-9.671545,0.9679222,-1.848431,
-0.03177673,-0.01419783,-0.009512901,-9.632454,0.8918181,-1.472492,
-0.02633333,-0.05129576,0.08159876,-8.294492,0.6220418,-0.76581,
0.0006973743,0.02936125,-0.1251459,-10.19588,0.7317582,-0.9366322,
