hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
29.36325,8.453369,11.48682,1.762695,0.7087708,-11.21829,
33.00705,17.58423,5.737305,2.936106,-1.031036,-10.42984,
7.711792,16.1499,3.759766,3.155584,-2.21405,-8.542158,
-113.0478,9.265137,-12.91199,0,0,0,
25.44327,42.85278,22.18018,0.8417702,-1.986542,-4.493861,
-50.8873,102.8687,21.07239,0.8054066,-2.885284,-3.367324,
3.791809,-50.89111,-29.73328,0.7871151,-1.19278,-0.5832767,
21.65222,-94.83032,-13.51929,0,0,0,
-57.42416,280.8716,-20.97168,4.107304,-4.200592,5.105643,
21.87195,-77.11182,-57.03735,4.515085,-3.366089,7.596421,
34.31396,-89.69116,11.16333,4.841671,-1.969147,10.77039,
-0.01602173,55.85327,-103.7537,9.643536,-3.729401,20.27905,
19.04678,-127.0752,78.20435,4.326258,-1.937408,4.396939,
6.233215,-30.5481,30.98755,2.478266,-1.463623,-0.5464697,
-0.1022339,-8.917236,22.75696,-0.08413315,-1.818542,-8.501277,
-23.92349,-3.381348,38.65051,0,0,0,
36.37238,-3.445435,-50.28687,-3.390408,-2.97348,-16.65752,
-23.25897,-0.06103516,29.73938,-2.741385,-1.057281,-7.280068,
-14.70261,-3.68042,-2.474976,-10.26876,1.562653,-6.65091,
-11.4151,-13.40942,-9.307861,-21.39649,5.661774,-4.75327,
6.801605,5.282593,27.11792,-15.38178,6.832733,1.632357,
1.392365,-1.849365,13.87634,-12.20319,7.213745,4.344106,
9.072876,-1.873779,4.147339,-10.7959,8.261261,3.872302,
-4.262543,19.03687,-12.81128,0,0,0,
6.591034,-25.26855,8.80127,-9.772393,7.974396,3.494766,
-0.8926392,-14.18152,19.68689,-7.640481,8.286591,1.595259,
5.233002,-105.3833,96.32874,-3.078425,12.86957,-7.064602,
3.704071,-55.61218,-42.94739,0.6565046,11.31165,-9.469423,
-3.105164,128.8147,-57.95288,1.360495,5.261841,-6.018072,
32.90329,-42.86499,35.18677,5.619233,13.84933,3580.472,
-1.118469,33.18176,-25.88196,4.519656,15.86136,-18.87177,
22.23511,1.565552,-3.927612,5.906036,26.13449,-27.17896,
-14.34555,39.505,-8.352661,4.409218,21.74484,-18.91846,
-3.820801,11.23352,-3.604126,4.399414,20.06714,-15.97076,
1.329803,9.179688,11.99341,7.498593,16.58478,-10.97229,
13.84583,5.79834,23.65417,13.01624,16.62247,-7.409058,
-26.73492,5.01709,-16.97083,9.431686,8.676453,-0.9970093,
-45.88699,7.03125,-15.15198,5.025997,-4.435577,10.64331,
-9.893799,2.816772,13.39722,5.536127,-8.057556,18.79974,
-4.193878,3.112793,-0.1281738,2.562599,-8.760071,19.94781,
-3.18985,3.536987,-3.497314,2.01829,-8.820496,19.8111,
-6.88324,11.32813,-4.779053,0.6504822,-10.19775,22.28729,
-0.05569458,-1.959229,-1.89209,1.252279,-9.81369,-3578.424,
-76.4946,150.4333,-37.50305,-4.80279,-31.3298,22.04845,
46.67816,-42.24854,-27.11182,-2.446327,-21.22147,13.17937,
25.60501,-22.88208,-21.3501,-7.996435,-7.52182,-7.551856,
20.30334,-57.04346,28.95203,-3.581371,-3.405151,-3.342052,
-30.96542,53.48511,-100.6378,-13.46598,-2.23587,-4.962664,
-5.300903,-19.07959,-28.16772,-15.39058,0.6718445,-3.837385,
18.00461,-14.80103,49.82605,-13.77159,3.730316,6.061423,
0.8369446,-9.527588,0.4058838,-13.42051,4.12262,6.445999,
7.66983,44.50073,-103.5126,-9.258652,-5.15564,28.13776,
36.56006,-59.64966,73.05603,-6.559682,-7.683258,31.00161,
-8.889008,-29.61426,68.44177,2.695912,-9.463043,19.18559,
-4.122925,-7.647705,29.48914,7.088009,-10.57526,14.55431,
-2.958679,-3.683472,31.98853,7.904184,-9.252319,11.54936,
-12.4588,-4.293823,35.04944,11.43434,-10.53238,11.64781,
-17.3378,-1.96228,19.60144,14.97925,-11.29929,9.345417,
11.68442,2.926636,-14.54773,7.853107,-4.952698,2.604942,
-20.87555,-0.4638672,42.04407,14.51275,-8.32077,-0.3263092,
-28.23181,6.802368,98.61755,26.45551,-12.86301,-14.38987,
33.65326,-4.724121,-81.79321,11.50804,-6.43158,-7.624674,
21.25626,1.217651,-39.25171,3.8167,-3.198853,-4.305038,
-1.37558,-3.704834,9.747314,3.023758,-3.118286,-3.596945,
-5.52597,-8.636475,16.04919,-0.1676083,-3.75885,-1.037121,
10.01282,-1.159668,-27.8656,-0.9227943,-2.686768,-0.6348991,
7.409668,-17.0105,2.087402,-4.701595,-4.276733,-0.4752064,
18.75534,-47.4762,35.28137,-9.889269,-6.490784,-5.922737,
43.4845,-86.96899,24.92065,-16.94814,-7.700653,-16.99082,
-17.28821,-24.81995,-46.72546,-15.53673,-6.837921,-16.38162,
15.21149,76.19019,-62.50305,-9.756141,-0.2726746,-16.6395,
31.69098,-48.97461,-32.27234,-13.84858,0.9793091,-26.2783,
