acc_x_fc,acc_x_mf,acc_x_rmsf,acc_x_vf,acc_x_std,acc_y_fc,acc_y_mf,acc_y_rmsf,acc_y_vf,acc_y_std,acc_z_fc,acc_z_mf,acc_z_rmsf,acc_z_vf,acc_z_std
2.577683992496652,179.35036295409705,2.9523643604046885,2.0720005514143085,1.4394445287729252,3.16871295975273,2322.183277347107,3.4962913383179623,2.1833113010923015,1.4776032285739977,2.8760594636470507,2179.8704588791165,3.1723648890789042,1.7921809510268498,1.338723627574732
2.879552843823469,280.304382330114,3.220198026376033,2.0778507487042686,1.4414751987822296,3.1000431794439156,804.1342274028964,3.4427287785225062,2.242113728050327,1.4973689351827515,2.583090831028277,914.6518861597899,2.9258588019688783,1.8882914877164068,1.37415118808536
2.590037651523933,411.0114975876207,2.9934856198618642,2.2526611200081557,1.500886777877717,3.043513537325197,1334.651845427757,3.390990413337108,2.2358413314624377,1.49527299563071,2.5058803423555798,883.0035030652191,2.8614441226657443,1.908426176934213,1.3814579895654493
2.6421170043470252,556.5827798709552,2.9533988908716715,1.7417827439423232,1.3197661701764913,2.817751788935069,1325.5114985855298,3.1563134570425113,2.0225894950608696,1.4221777297725027,2.7366634755376045,1236.5609945158544,3.0569872650210796,1.8558441601595035,1.362293712882616
2.8125222785569437,674.9023400007687,3.141718992081608,1.9601166578271332,1.4000416628897632,3.2757544086130466,2971.061483252616,3.5446230920364443,1.833785919050191,1.3541735188114523,2.968606115846839,1965.0407251516422,3.214033367787868,1.5173882182105647,1.2318231278111986
2.753470389089761,613.3604287875627,3.1006976764168903,2.0327268969429833,1.425737316949719,3.2478984857904716,3011.9569753908604,3.5202165409456256,1.84307992114715,1.357600795943767,2.9819710033955737,1874.4596088799367,3.230831000414626,1.5461178881481663,1.2434298887143442
2.8733829329470475,637.4973278476742,3.218296605085803,2.1011035589554257,1.4495183886227265,2.995304674029204,3660.8220405080056,3.286378924722283,1.8284363465975915,1.35219685940975,3.072698948493001,1964.7733726989761,3.308395393265575,1.5040012501108841,1.2263772870168805
2.6395508417890405,429.4692724565504,3.037143787219126,2.257013737854504,1.5023360935072099,3.0699936712233518,3701.84371921927,3.329195037618374,1.6586784571513755,1.2878969124706277,3.1101362129650085,1757.0603962231387,3.37547790673812,1.7209038356808342,1.311832243726626
2.4567920527385194,362.9453960092518,2.8454366667432733,2.060682634047919,1.4355077965820733,2.5543964237068506,2106.6886998484865,2.8554024911496882,1.6283822970174964,1.2760808348288506,2.693961474361299,1169.1760294464834,3.0930043290631533,2.3092473542605036,1.519620792915293
2.5619303556593542,361.5210042179683,2.9079626669534835,1.8927597251463504,1.3757760446912681,2.5787972842737665,2251.445716771542,2.861130316855143,1.5358712566498582,1.2393027300259845,2.584852403394837,1219.4804281086138,2.912669125759993,1.802179488819418,1.3424527883018524
2.8286718448472024,194.13939730190472,3.1060415900789304,1.6461099534687749,1.2830081657841368,2.3481763203021377,1481.7308908089512,2.6559474033843204,1.5401245783162263,1.2410175576180325,2.5178707110275282,1162.4136112590104,2.8429049684561414,1.7424357422223442,1.320013538651155
2.8348986350211853,230.5443858172328,3.126835765200318,1.7404516316908767,1.319261775270881,2.366891001804549,1589.913812365447,2.671564757496741,1.5350852390752774,1.2389855685500446,2.49715679594103,1267.047532298397,2.8372262722370425,1.8140608563576328,1.346870764534457
2.4433749559485545,300.7058164342842,2.883027510987606,2.3417664537547873,1.5302831286251533,2.335784619062588,2293.1676146838263,2.686834904592351,1.7631920178864267,1.3278524081713399,2.3005281659533106,1512.519679219899,2.70512124364111,2.0252511004539215,1.4231131720470869
2.5082299768607013,325.65649959300674,2.9629629776230924,2.4879319899424686,1.5773179736319713,2.477430525417644,2255.12770806642,2.8252037373457513,1.8441141492412572,1.357981645399251,2.4289898000015504,1516.5842062950767,2.817668450575858,2.0392640488589846,1.4280280280369095
2.6484614809107883,423.99533352159176,3.0563236206098474,2.326765858029521,1.5253740059505148,2.608790551723198,2007.189680861379,2.992753471224328,2.1507851967650393,1.4665555552944591,2.412857167059971,1548.4332052245702,2.784420631908165,1.9311185467631948,1.3896469144222192
2.7805970925718824,442.55309462601434,3.1631308895815575,2.2736768334058097,1.5078716236489795,2.6805200118415464,1945.8153212850084,3.0362591847174567,2.0336823028981104,1.4260723343849393,2.732503759932571,1661.3980974659437,3.0771495796182573,2.0022727372991795,1.4150168682030542
3.4715239219269067,1035.0988140975892,3.7021148895180005,1.654176314680107,1.2861478587938895,2.6995422957080675,2315.6041848025475,3.0190581467153006,1.8271834869312422,1.3517335118029894,3.177570414997609,7783.660651567538,3.3953480427144718,1.4314345888969202,1.196425755697745
3.3829149834335555,936.0655528180263,3.6235943592139903,1.6863222949881937,1.2985847276894156,2.8978289056051434,3420.122526957297,3.252937187455005,2.184187979366976,1.4778998543091395,3.354638722291786,8261.47115431767,3.5426292714060947,1.2966211975238102,1.13869275817659
3.52421449773848,996.6374966656143,3.716216514049286,1.3901773532225354,1.179057824376114,3.3623866793366015,3571.16363544404,3.5994438822861317,1.6503520803468439,1.2846602976455854,3.3729142421329708,8301.940859080258,3.5636849505529855,1.3232999420144071,1.1503477482980558
3.4820622396669587,1128.2687376446738,3.68537978161376,1.4572666938130059,1.2071730173479716,3.2714705626113987,3387.1843395656556,3.5010618903416466,1.554914717969682,1.2469621958863397,3.360081225791987,8490.112899688047,3.5553383997359074,1.350285292716903,1.1620177678146333
2.95088029146788,892.8590551389163,3.2276253264262715,1.7098707532147344,1.3076202633848768,3.278066944445701,3024.2749620320915,3.5166751147163295,1.6212809701975317,1.2732953193181586,2.9873051116270535,4815.6289616082,3.265142517101273,1.737163827029314,1.3180151088016077
2.821527493400429,925.81156772059,3.108973501006579,1.7046988339465994,1.3056411581849736,2.7868709978215547,2268.034319315663,3.028983260668963,1.4080896349138776,1.1866295272383363,2.825185537038434,4013.6340680262974,3.128471571996868,1.8056610581014096,1.3437488820837804
2.697698066760895,790.1801312319378,3.026843738108432,1.8842081555207546,1.3726646187327605,2.644021020684755,2288.676342283134,2.9244085013264347,1.56131792480747,1.2495270804618321,2.831081803001978,4149.387453583282,3.1515663262063818,1.9173461331890596,1.3846826832126773
