a_x,a_y,a_z,g_x,g_y,g_z,label,
3.01,2.02,2.13,-0.09,-0.01,0.23,reverse,
-0.04,0.18,2.01,-0.02,0.11,-0.43,reverse,
-0.89,-0.11,1.82,0.03,-0.01,-0.73,reverse,
-1.12,-0.37,1.81,-0.05,0.03,-0.14,reverse,
-0.57,-0.31,1.88,-0.07,0.03,0.02,reverse,
-0.42,-0.35,1.93,-0.07,0.03,0.03,reverse,
-0.27,-0.41,1.89,-0.07,0.04,0.03,reverse,
-0.11,-0.43,1.92,-0.07,0.04,0.03,reverse,
0.07,-0.44,1.99,-0.07,0.04,0.03,reverse,
0.26,-0.48,1.95,-0.07,0.03,0.02,reverse,
0.42,-0.48,2.02,-0.07,0.04,0.03,reverse,
0.11,-0.3,1.93,-0.07,0.04,0.03,reverse,
0.15,-0.2,1.91,-0.07,0.03,0.03,reverse,
0.13,-0.21,1.96,-0.07,0.04,0.03,reverse,
0.17,-0.18,1.94,-0.07,0.04,0.03,reverse,
0.17,-0.23,1.95,-0.07,0.04,0.03,reverse,
0.13,-0.22,1.93,-0.07,0.04,0.02,reverse,
0.1,-0.2,1.98,-0.07,0.04,0.02,reverse,
0.09,-0.21,1.97,-0.07,0.03,0.03,reverse,
0.1,-0.22,1.94,-0.07,0.03,0.03,reverse,
0.11,-0.21,1.94,-0.07,0.04,0.03,reverse,
0.1,-0.17,1.94,-0.07,0.03,0.02,reverse,
0.1,-0.19,1.98,-0.07,0.04,0.03,reverse,
0.07,-0.18,1.93,-0.07,0.04,0.03,reverse,
0.08,-0.18,1.92,-0.07,0.03,0.03,reverse,
0.1,-0.19,1.86,-0.07,0.04,0.02,reverse,
0.09,-0.21,1.93,-0.07,0.04,0.03,reverse,
0.12,-0.21,1.89,-0.07,0.04,0.02,reverse,
0.05,-0.15,1.93,-0.07,0.03,0.02,reverse,
0.02,-0.18,1.95,-0.07,0.04,0.03,reverse,
0.09,-0.17,1.93,-0.07,0.04,0.03,reverse,
0.05,-0.17,1.93,-0.07,0.04,0.03,reverse,
0.03,-0.18,1.96,-0.07,0.03,0.03,reverse,
