a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.35,1.94,4.71,3.31,1.57,2.18,sidecrunch,
-0.72,1.46,5,3.73,1.93,2.19,sidecrunch,
-1.3,0.79,5.04,3.82,2.03,2.12,sidecrunch,
-1.18,0.33,4.78,3.64,1.73,1.98,sidecrunch,
-1.3,-0.06,4.63,3.28,1.34,1.68,sidecrunch,
-1.03,-0.06,4.39,3.07,1.02,1.48,sidecrunch,
-0.5,0.34,4.53,3.27,1.12,1.45,sidecrunch,
-0.53,0.06,4.19,3.85,1.76,1.44,sidecrunch,
-1,-0.87,4.21,4.2,2.24,1.39,sidecrunch,
-1.6,-2.1,3.55,4.33,2.14,1.34,sidecrunch,
-1.86,-2.55,3.08,4.23,1.87,1.33,sidecrunch,
-1.71,-2.46,4.12,4.51,1.75,1.55,sidecrunch,
-1.47,-1.65,4.33,5.32,1.9,1.73,sidecrunch,
-0.74,-1.55,3.44,6.17,2.3,1.88,sidecrunch,
-0.82,-2.83,2.4,7.18,2.96,1.99,sidecrunch,
-1.03,-5.08,-1.05,7.23,3.07,1.89,sidecrunch,
-1.25,-6.98,-2.92,6.52,2.73,1.63,sidecrunch,
-1.47,-7.52,-2.48,5.11,1.86,1,sidecrunch,
-2.58,-7.4,-1.67,3.77,1.02,0.31,sidecrunch,
-2.87,-7.95,-2.17,2.59,0.05,-0.24,sidecrunch,
-2.84,-7.97,-2.73,1.67,-0.86,-0.4,sidecrunch,
-2.32,-7.67,-3.01,1.35,-1.19,-0.28,sidecrunch,
-1.46,-6.84,-3.42,1.15,-0.96,-0.03,sidecrunch,
-0.47,-5.93,-3.39,0.83,-0.44,0.11,sidecrunch,
-0.11,-5.31,-3.29,0.27,-0.22,0.11,sidecrunch,
-0.03,-4.25,-2.38,-0.24,-0.31,0.08,sidecrunch,
-0.01,-3.24,-1.62,-0.73,-0.58,0.09,sidecrunch,
0.38,-2.05,-0.76,-1,-0.74,0.13,sidecrunch,
