a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.25,-0.79,2.06,0.06,0.02,-0.12,reverse,
0.51,-0.27,1.6,0.02,0,-0.06,reverse,
0.54,-0.32,1.54,-0.01,0,-0.01,reverse,
0.74,-0.31,1.66,-0.04,0.01,0.03,reverse,
0.77,-0.27,1.73,-0.05,0.03,0.03,reverse,
0.77,-0.24,1.75,-0.05,0,0.02,reverse,
0.81,-0.15,1.72,-0.04,0,0,reverse,
0.73,-0.16,1.66,-0.05,0.01,-0.01,reverse,
0.66,-0.15,1.7,-0.08,0.05,0.03,reverse,
0.56,-0.1,1.71,-0.11,0.07,0.06,reverse,
0.49,-0.07,1.89,-0.11,0.05,0.09,reverse,
0.42,-0.11,1.78,-0.09,-0.01,0.14,reverse,
0.48,-0.13,1.69,-0.11,0.02,0.24,reverse,
0.52,-0.19,1.37,-0.19,0.14,0.36,reverse,
0.29,-0.29,1.21,-0.31,0.25,0.49,reverse,
-0.29,-0.48,0.86,-0.58,0.39,0.77,reverse,
-0.68,-0.32,1.15,-0.89,0.47,1.22,reverse,
-0.31,0.57,1.99,-1.06,0.29,1.6,reverse,
0.22,1.1,2.41,-0.96,-0.01,1.71,reverse,
1.27,1.29,2.43,-0.8,-0.22,1.62,reverse,
2.49,1.78,2.13,-0.53,-0.32,1.04,reverse,
2.53,1.38,2.04,-0.23,0.02,0.37,reverse,
2.12,0.8,2.04,-0.07,0.16,-0.02,reverse,
1.89,0.17,2.23,0.05,0.08,-0.38,reverse,
1.96,0.01,2.1,0.26,0.16,-0.74,reverse,
0.85,-0.67,1.55,0.39,0.37,-0.92,reverse,
0.37,-1.09,1.6,0.33,0.35,-0.84,reverse,
0.51,-0.89,1.77,0.31,0.34,-0.74,reverse,
0.22,-1.03,1.52,0.26,0.28,-0.57,reverse,
0.3,-0.78,2.04,0.13,0.18,-0.42,reverse,
0.3,-0.66,1.98,0.14,0.1,-0.36,reverse,
0.46,-0.56,2.07,0.11,0.06,-0.27,reverse,
0.59,-0.46,1.9,0.09,0.02,-0.24,reverse,
0.6,-0.5,1.96,0.07,0.03,-0.21,reverse,
0.73,-0.33,1.73,0.07,0.04,-0.22,reverse,
0.66,-0.39,1.8,0.03,0.08,-0.23,reverse,
0.36,-0.42,1.86,0.01,0.13,-0.17,reverse,
0.33,-0.35,1.83,0.01,0.11,-0.1,reverse,
0.29,-0.37,1.8,0.01,0.09,-0.08,reverse,
0.19,-0.37,1.61,0.02,0.03,0.02,reverse,
0.35,-0.4,1.58,-0.04,-0.03,0.11,reverse,
0.57,-0.47,1.45,-0.11,-0.04,0.17,reverse,
0.59,-0.43,1.58,-0.17,-0.02,0.2,reverse,
0.46,-0.48,1.54,-0.22,0.01,0.28,reverse,
0.6,-0.29,1.75,-0.27,-0.01,0.38,reverse,
1,0.12,1.76,-0.3,-0.1,0.39,reverse,
1,0.24,1.99,-0.31,-0.08,0.36,reverse,
0.88,0.21,2.24,-0.26,-0.1,0.36,reverse,
1.35,0.74,1.92,-0.2,-0.26,0.28,reverse,
1.11,0.53,1.87,-0.14,-0.13,0.13,reverse,
1.02,0.37,1.65,-0.15,-0.1,0.09,reverse,
0.74,0.34,1.44,-0.24,-0.03,0.12,reverse,
0.78,0.26,1.26,-0.39,0.21,0.3,reverse,
